aaCounter,Symbol,bClosed on Date,dTransaction Type,cBooks to Open on Date,eReason,hCountry of Incorporation,'gDR CUSIP,iReport Timestamp,jDepo
     1,ATHJY,2016-12-02,DR Issuance,To Be Announced,Corporate Action - Offshore Offering (non-US registrations),Australia,'037183100,2016-12-02 09:01:45.363000000,DEPO1
     2,WNXDY,2016-12-02,DR Issuance,To Be Announced,Corporate Action,Germany,'97315H108,2016-12-02 09:01:45.363000000,DEPO1
     3,BPXXY,2016-12-01,DR Issuance,To Be Announced,Corporate Action - Name Change,Italy,'059471102,2016-12-02 09:01:45.363000000,DEPO1
     4,MMETY,2016-12-01,DR Issuance,To Be Announced,Corporate Action,Hong Kong,'60369A106,2016-12-02 09:01:45.363000000,DEPO1
     5,IRCP,2016-11-30,DR Cancellation,To Be Announced,Corporate Action - Reverse Split,Argentina,'463588103,2016-12-02 09:01:45.363000000,DEPO1
     6,IRCP,2016-11-30,DR Issuance,To Be Announced,Corporate Action - Reverse Split,Argentina,'463588103,2016-12-02 09:01:45.363000000,DEPO1
     7,BKHYY,2016-11-29,DR Issuance,2016-12-05,Dividend Record Date Conflict,Israel,'062510300,2016-12-02 09:01:45.363000000,DEPO1
     8,EPIHY,2016-11-29,DR Cancellation,To Be Announced,Termination of DR Facility,Bermuda,'294246103,2016-12-02 09:01:45.363000000,DEPO1
    14,PHST,2016-11-29,DR Cancellation,To Be Announced,Suspension of Trading,Russia,'717140206,2016-12-02 09:01:45.363000000,DEPO1
    19,BMDPY,2016-11-28,DR Cancellation,To Be Announced,Corporate Action - Reverse Split,Italy,'05951A303,2016-12-02 09:01:45.363000000,DEPO1
    20,BMDPY,2016-11-28,DR Issuance,To Be Announced,Corporate Action - Reverse Split,Italy,'05951A303,2016-12-02 09:01:45.363000000,DEPO1
    21,CAIXY,2016-11-25,DR Issuance,2016-12-05,Corporate Action - Stock Dividend,Spain,'12803K109,2016-12-02 09:01:45.363000000,DEPO1
    22,DTTLY,2016-11-25,DR Issuance,2016-12-05,Corporate Action - Stock Dividend,South Africa,'23812J108,2016-12-02 09:01:45.363000000,DEPO1
    23,PTJSY,2016-11-25,DR Issuance,To Be Announced,Corporate Action - Rights Issue,Indonesia,'69369T106,2016-12-02 09:01:45.363000000,DEPO1
    26,BOALY,2016-11-22,DR Issuance,To Be Announced,Corporate Action - Rights Issue,Australia,'099514101,2016-12-02 09:01:45.363000000,DEPO1
    27,PKREY,2016-11-22,DR Cancellation,To Be Announced,Corporate Action,Thailand,'74441Y107,2016-12-02 09:01:45.363000000,DEPO1
    28,RSVXY,2016-11-22,DR Issuance,To Be Announced,Depositary Discretion,Spain,'76010T104,2016-12-02 09:01:45.363000000,DEPO1
    31,HADSY,2016-11-21,DR Cancellation,To Be Announced,Termination of DR Facility,Israel,'40409T208,2016-12-02 09:01:45.363000000,DEPO1
    32,CQPTY,2016-11-18,DR Cancellation,To Be Announced,Corporate Action - Capital Restructuring,Israel,'19516Q208,2016-12-02 09:01:45.363000000,DEPO1
    33,CQPTY,2016-11-18,DR Issuance,To Be Announced,Corporate Action - Capital Restructuring,Israel,'19516Q208,2016-12-02 09:01:45.363000000,DEPO1
    34,PKRKY,2016-11-18,DR Issuance,To Be Announced,Corporate Action - Rights Issue,Indonesia,'74442M102,2016-12-02 09:01:45.363000000,DEPO1
    37,IMPZY,2016-11-17,DR Issuance,2016-12-27,Corporate Action - Offshore Offering (non-US registrations),France,'45321V108,2016-12-02 09:01:45.363000000,DEPO1
    42,MPSYY,2016-11-16,DR Issuance,2016-12-27,Certification Required,Germany,'617760103,2016-12-02 09:01:45.363000000,DEPO1
    43,EQSHY,2016-11-16,DR Issuance,To Be Announced,Corporate Action - Rights Issue,South Africa,'302257100,2016-12-02 09:01:45.363000000,DEPO1
    45,HLSPY,2016-11-14,DR Issuance,To Be Announced,Corporate Action - Rights Issue,Sweden,'423281104,2016-12-02 09:01:45.363000000,DEPO1
    46,FIVE,2016-11-14,DR Issuance,To Be Announced,Monitor of Foreign Ownership Limitations,The Netherlands,'98387E205,2016-12-02 09:01:45.363000000,DEPO1
    47,LRTYY,2016-11-11,DR Cancellation,To Be Announced,Termination of DR Facility,Australia,'53117V209,2016-12-02 09:01:45.363000000,DEPO1
    48,KUIRY,2016-11-10,DR Cancellation,To Be Announced,Corporate Action - (M&A),Switzerland,'501264105,2016-12-02 09:01:45.363000000,DEPO1
    49,KUIRY,2016-11-10,DR Issuance,To Be Announced,Corporate Action - (M&A),Switzerland,'501264105,2016-12-02 09:01:45.363000000,DEPO1
    50,MMETY,2016-11-10,DR Issuance,To Be Announced,Corporate Action - Rights Issue,Hong Kong,'60369A106,2016-12-02 09:01:45.363000000,DEPO1
    51,MEOAY,2016-11-08,DR Cancellation,To Be Announced,Corporate Action,Australia,'55276X108,2016-12-02 09:01:45.363000000,DEPO1
    52,MEOAY,2016-11-08,DR Issuance,To Be Announced,Corporate Action,Australia,'55276X108,2016-12-02 09:01:45.363000000,DEPO1
