RIC,ISIN,Valor Symbol,Blue chip
ABBN.S,CH0012221716,ABBN,TRUE
ADEN.S,CH0012138605,ADEN,TRUE
ARYN.S,CH0043238366,ARYN,TRUE
BAER.S,CH0102484968,BAER,TRUE
BALN.S,CH0012410517,BALN,TRUE
CFR.S,CH0210483332,CFR,TRUE
CLN.S,CH0012142631,CLN,TRUE
CSGN.S,CH0012138530,CSGN,TRUE
DUFN.S,CH0023405456,DUFN,TRUE
GEBN.S,CH0030170408,GEBN,TRUE
GIVN.S,CH0010645932,GIVN,TRUE
KNIN.S,CH0025238863,KNIN,TRUE
LHN.S,CH0012214059,LHN,TRUE
LOGN.S,CH0025751329,LOGN,TRUE
LONN.S,CH0013841017,LONN,TRUE
NESN.S,CH0038863350,NESN,TRUE
NOVN.S,CH0012005267,NOVN,TRUE
PGHN.S,CH0024608827,PGHN,TRUE
ROG.S,CH0012032048,ROG,TRUE
SCHP.S,CH0024638196,SCHP,TRUE
SCMN.S,CH0008742519,SCMN,TRUE
SLHN.S,CH0014852781,SLHN,TRUE
SOON.S,CH0012549785,SOON,TRUE
SRENH.S,CH0126881561,SREN,TRUE
UBSG.S,CH0244767585,UBSG,TRUE
UHR.S,CH0012255151,UHR,TRUE
ZURN.S,CH0011075394,ZURN,TRUE
