RIC,Side,OrderID,Shares,Price (CHF),OrderStatus,Exchange
CSGN.S,Sell,15000003,1230,13.08,FILLED,SIX Swiss
UBSG.S,Buy,15000004,958,13.56,PARTIAL FILL,SIX Swiss
NOVN.S,Sell,15000006,185,77,FILLED,SIX Swiss
CSGN.S,Sell,15000007,1237,13.1,PARTIAL FILL,SIX Swiss
CSGN.S,Sell,15000007,745,13.1,FILLED,SIX Swiss
ROG.S,Buy,15000010,300,240.4,FILLED,SIX Swiss
ARYN.S,Sell,15000011,500,44.8,FILLED,SIX Swiss
ABBN.S,Sell,15000012,436,22.24,FILLED,SIX Swiss
UHRN.S,Sell,15000014,207,54.2,FILLED,SIX Swiss
SRENH.S,Sell,15000015,500,86.1,FILLED,SIX Swiss
ADEN.S,Sell,15000019,170,56.4,FILLED,SIX Swiss
NOVN.S,Sell,15000020,4522,77,FILLED,SIX Swiss
ZURN.S,Sell,15000021,135,252,FILLED,SIX Swiss
NESN.S,Sell,15000022,630,76.85,FILLED,SIX Swiss
UBSG.S,Buy,15000024,356,13.59,FILLED,SIX Swiss
CLN.S,Buy,15000026,848,16.78,FILLED,SIX Swiss
BAER.S,Buy,15000027,991,39.98,FILLED,SIX Swiss
OERL.S,Sell,15000028,546,9.8,PARTIAL FILL,SIX Swiss
OERL.S,Sell,15000028,1452,9.8,FILLED,SIX Swiss
ABBN.S,Buy,15000029,6781,22.16,PARTIAL FILL,SIX Swiss
ABBN.S,Buy,15000029,1005,22.16,PARTIAL FILL,SIX Swiss
ABBN.S,Buy,15000029,859,22.16,PARTIAL FILL,SIX Swiss
ABBN.S,Buy,15000029,446,22.16,PARTIAL FILL,SIX Swiss
ABBN.S,Buy,15000029,1300,22.16,PARTIAL FILL,SIX Swiss
ABBN.S,Buy,15000029,772,22.16,FILLED,SIX Swiss
LHN.S,Buy,15000030,436,52.2,FILLED,SIX Swiss
OERL.S,Sell,15000031,538,9.8,FILLED,SIX Swiss
ARYN.S,Sell,15000032,247,44.67,PARTIAL FILL,SIX Swiss
UHRN.S,Sell,15000033,250,54.1,FILLED,SIX Swiss
SLHN.S,Buy,15000035,16,251,PARTIAL FILL,SIX Swiss
SLHN.S,Buy,15000035,33,251,PARTIAL FILL,SIX Swiss
UHR.S,Buy,15000037,103,273.2,FILLED,SIX Swiss
ADEN.S,Buy,15000038,156,56.1,PARTIAL FILL,SIX Swiss
ABBN.S,Buy,15000039,2167,22.15,FILLED,SIX Swiss
SLHN.S,Buy,15000040,100,250.3,FILLED,SIX Swiss
ATLN.S,Buy,15000041,120,166.4,PARTIAL FILL,SIX Swiss
LHN.S,Buy,15000042,660,52.05,FILLED,SIX Swiss
SPSN.S,Sell,15000044,225,84.05,PARTIAL FILL,SIX Swiss
ABBN.S,Sell,15000045,3009,22.2,FILLED,SIX Swiss
ABBN.S,Sell,15000047,1200,22.22,PARTIAL FILL,SIX Swiss
ABBN.S,Sell,15000047,670,22.22,FILLED,SIX Swiss
AMS.S,Buy,15000048,315,32.2,FILLED,SIX Swiss
SOON.S,Buy,15000049,76,138.9,PARTIAL FILL,SIX Swiss
SOON.S,Buy,15000049,68,138.9,PARTIAL FILL,SIX Swiss
SOON.S,Buy,15000049,25,138.9,PARTIAL FILL,SIX Swiss
SOON.S,Buy,15000049,101,138.9,PARTIAL FILL,SIX Swiss
DUFN.S,Buy,15000050,57,121.4,PARTIAL FILL,SIX Swiss
LHN.S,Buy,15000051,228,52.1,PARTIAL FILL,SIX Swiss
LHN.S,Buy,15000051,404,52.1,PARTIAL FILL,SIX Swiss
LHN.S,Buy,15000051,1291,52.1,FILLED,SIX Swiss
SUN.S,Buy,15000053,159,103,PARTIAL FILL,SIX Swiss
SUN.S,Buy,15000053,210,103,PARTIAL FILL,SIX Swiss
SUN.S,Buy,15000053,25,103,PARTIAL FILL,SIX Swiss
SUN.S,Buy,15000053,58,103,FILLED,SIX Swiss
SRENH.S,Sell,15000057,203,85.8,PARTIAL FILL,SIX Swiss
ARYN.S,Sell,15000059,426,44.75,PARTIAL FILL,SIX Swiss
ARYN.S,Sell,15000059,155,44.75,FILLED,SIX Swiss
UHR.S,Buy,15000060,170,273.7,PARTIAL FILL,SIX Swiss
UHR.S,Buy,15000060,30,273.7,PARTIAL FILL,SIX Swiss
SRENH.S,Sell,15000062,611,85.75,FILLED,SIX Swiss
ABBN.S,Sell,15000065,3345,22.22,FILLED,SIX Swiss
KNIN.S,Buy,15000066,157,142.5,FILLED,SIX Swiss
CLN.S,Buy,15000067,586,16.77,PARTIAL FILL,SIX Swiss
CLN.S,Buy,15000067,359,16.77,PARTIAL FILL,SIX Swiss
CLN.S,Buy,15000067,600,16.77,FILLED,SIX Swiss
CSGN.S,Sell,15000070,460,13.13,FILLED,SIX Swiss
ZURN.S,Buy,15000074,180,252.5,FILLED,SIX Swiss
BAER.S,Buy,15000075,236,40.1,PARTIAL FILL,SIX Swiss
LHN.S,Sell,15000078,74,52.4,FILLED,SIX Swiss
